Name,Description,IsProperty,IsActive,RowGUID,OwnerID,ItemID
"Post-shock interest rate floor (NII/EVE)",,-1,-1,"{46770EBE-C924-46DF-AB2C7C3373EFFA77}",1012,10931
"Off-balance sheet assets subject to interest rate risk",,0,-1,"{9B15056E-EB25-4302-99BD5F7570F2E99A}",1012,10932
"Off-balance sheet liabilities subject to interest rate risk",,0,-1,"{CD6F1239-53AF-4227-B791E62891EA3DFA}",1012,10933
"Other than hedge accounting",,0,-1,"{6DB19B65-5276-4646-8CC7D947AA83EB94}",1012,10934
"Subject to early redemption risk",,0,-1,"{CF2E5EE6-2566-4C3E-BA53C7D00504EE66}",1012,10935
"Approach used for the purpose of the SOT (NII/EVE) - SA",,0,-1,"{9A6E0566-88DB-4D37-BA2387BBCBC5382E}",1012,10936
"Approach used for the purpose of the SOT (NII/EVE) - IMS",,0,-1,"{B749BB30-EEC3-4564-931B1739812EB0A4}",1012,10937
"Requirement from the Competent Authority (NII/EVE) - Yes",,0,-1,"{4A58ED35-09A6-462A-BA521B75FBB218F9}",1012,10939
"Requirement from the Competent Authority (NII/EVE) - No",,0,-1,"{587F3D6C-AC4E-4001-B28A0CE7C426E369}",1012,10940
"Requirement from the Competent Authority (NII/EVE) - Not applicable",,0,-1,"{BE57CBD7-8418-42C6-A86EFC7A58A3EF28}",1012,10941
"Methodology (NII) - Repricing gap",,0,-1,"{FC162EF0-5F51-4EC4-B2AC1C2E20DD24D1}",1012,10942
"Methodology (NII) - Full revaluation",,0,-1,"{AEF7111F-52FD-4BA7-BD3FFA25A57186AE}",1012,10943
"Methodology (NII) - Mix",,0,-1,"{F6CD65A9-10F6-400A-AECB367936E66F79}",1012,10944
"Methodology (NII) - Other",,0,-1,"{9154CE9D-71CC-4384-AEC0C46CD9E6B5A8}",1012,10945
"Conditional Cash Flows (NII) - All material items",,0,-1,"{BA880336-7B76-432A-B8421E0E0DFAE4C9}",1012,10946
"Conditional Cash Flows (NII) - Some material items",,0,-1,"{20F774D0-BBBF-4E2B-B5E5E9B42F126BB7}",1012,10947
"Conditional Cash Flows (NII) - Not considered",,0,-1,"{B1C1F938-309F-4126-A8734C4CFF346612}",1012,10948
"Option risk (NII) considered",,0,-1,"{EFFC2BD8-79D2-4D88-A9299FEB0A8A64E0}",1012,10949
"Option risk (NII) not considered",,0,-1,"{262FFEBF-8994-4902-9F54233B0C36CDF7}",1012,10950
"Basis Risk (NII) considered",,0,-1,"{9E5111C2-9A41-402D-98429C86BDD28600}",1012,10951
"Basis Risk (NII) not considered",,0,-1,"{A40D223A-6DF7-4430-94775771A211DBF2}",1012,10952
"Methodology (EVE) - duration Gap",,0,-1,"{84AEAECB-52AB-4B9D-9080BC58217F2E67}",1012,10953
"Methodology  (EVE) - Full Revaluation",,0,-1,"{3852BA2E-F8AB-48ED-863EDFF93ED61B33}",1012,10954
"Methodology (EVE) - Mix",,0,-1,"{0090D698-B089-4958-A19A33257A2BCDB8}",1012,10955
"Methodology (EVE) - Other",,0,-1,"{B988F5C4-A0A7-4116-8610B76380D5C0B0}",1012,10956
"Conditional Cash Flows (EVE) - All material items",,0,-1,"{5DBDE197-C2AB-4CD7-873FE47C8AB9A3B1}",1012,10957
"Conditional Cash Flows (EVE) - Some material items",,0,-1,"{29928C18-4B4F-4FEF-9BA9D27B8C41A325}",1012,10958
"Conditional Cash Flows (EVE) - Not considered",,0,-1,"{CF7CCBD6-7867-4EAB-BA187273633C1C47}",1012,10959
"Option risk (EVE) considered",,0,-1,"{0FC04F32-269C-4BFE-99FDCAFF85DF59FD}",1012,10960
"Option risk (EVE) not considered",,0,-1,"{A58E01F6-0C97-47F2-AFD7815666972C48}",1012,10961
"Basis Risk (EVE) considered",,0,-1,"{64FC9033-2C63-482D-96D90116E8E36E82}",1012,10962
"Basis Risk (EVE) not considered",,0,-1,"{7F93F825-DFE3-4B20-A8CD829966116D07}",1012,10963
"Commercial margins/other spread components (EVE) considered",,0,-1,"{187D4EF0-6B59-47A0-B1B09D1B8EC49262}",1012,10964
"Commercial margins/other spread components (EVE) not considered",,0,-1,"{A6FAD0C4-9BFB-48EE-9FF36ECB658CF806}",1012,10965
"Penalty fees from loan prepayments considered",,0,-1,"{D1F7CF7E-E94B-4F98-BFB7D811C7208155}",1012,10966
"Penalty fees from loan prepayments not considered",,0,-1,"{304FA50A-B928-4C89-89346005457A860A}",1012,10967
"Pension obligations/pension plan assets considered",,0,-1,"{E5C47A76-DCEE-4EA9-988205FD2F8E3912}",1012,10968
"Pension obligations/pension plan assets not considered",,0,-1,"{4C2F797F-E8CB-4500-84E53AB83F3DA96E}",1012,10969
"Non-performing exposures considered",,0,-1,"{9C536AF7-3D45-4254-A232051684CE6641}",1012,10970
"Non-performing exposures not considered",,0,-1,"{E54330A7-6929-4DF0-B2001ED385971330}",1012,10971
"Fixed rate loan committments considered",,0,-1,"{693E7D0A-E869-4EFB-B73C4D73E8B0DBFD}",1012,10972
"Fixed rate loan committments not considered",,0,-1,"{84A736BA-6EE3-4C24-B97932AE96B43050}",1012,10973
"Risk of prepayment considered",,0,-1,"{E5B627F9-168A-4DE3-8133D6160E444C0A}",1012,10974
"Risk of prepayment not considered",,0,-1,"{4375423F-34C0-450E-87DBEC6B88740A47}",1012,10975
"Risk of early redemption  considered",,0,-1,"{05FED168-2DBD-40AC-962185A4A7C51681}",1012,10976
"Risk of early redemption not considered",,0,-1,"{2BF23B11-5FD2-4B1A-A61FBD439D7B502C}",1012,10977
"Time series model (Basel/EBA Stable/non-stable/PTR approach)",,0,-1,"{5B505AD6-E04F-491E-8644275D8FBA846B}",1012,10978
"Replication portfolio",,0,-1,"{2F925493-E567-4316-8B39985F41C5C8A6}",1012,10979
"Economical models (modelling financial wealth allocation to NMDs or alternative investments according to different market scenarios/economic factors)",,0,-1,"{2169CEA5-CEDA-4CC6-81CAC2F07EC5CF26}",1012,10980
"Expert judgement",,0,-1,"{65EA59BB-52A8-40C6-B92D9985D7166B6B}",1012,10981
"Other general approach for NMD modelling",,0,-1,"{146415CC-65D1-4C27-91419008E9E0950D}",1012,10982
"Identification of core component NMD balances - Yes",,0,-1,"{89A8B134-467A-4C60-A55B3BEB7511E4EB}",1012,10983
"Identification of core component NMD balances - No",,0,-1,"{87D032A0-84AF-4010-8E45FBD589032374}",1012,10984
"Identification of core component NMD balances - Not applicable",,0,-1,"{D3BC1A09-FB33-494A-8A30C3AA1116B20F}",1012,10985
"All core balances allocated in only one repricing tenor.",,0,-1,"{BE0FE1B7-CE40-47F9-A18C773B35699134}",1012,10986
"Core balances allocated in different repricing tenors.",,0,-1,"{6A4B8037-2717-4C27-BA852FC544C0F231}",1012,10987
"5-year NMD repricing cap on IRRBB risk management - Yes",,0,-1,"{5630CC6C-C985-4E82-9756331E68ADA70D}",1012,10988
"5-year NMD repricing cap on IRRBB risk management - No",,0,-1,"{BD46330E-C118-4346-967BEA7A932191D9}",1012,10989
"5-year NMD repricing cap on IRRBB risk management - Not applicable",,0,-1,"{E3AB89AD-B0D7-40B3-860B8E2B3F2BD754}",1012,10990
"Exemptions to the 5-year NMD repricing cap - Yes",,0,-1,"{EF651A89-F80C-4F56-A90425F1F40D246E}",1012,10991
"Exemptions to the 5-year NMD repricing cap - No",,0,-1,"{A5FD6E17-7C21-4689-8520435B7F9A9431}",1012,10992
"Exemptions to the 5-year NMD repricing cap - Not applicable",,0,-1,"{6358A9AB-BE03-4E42-96E7B0D534A58B9B}",1012,10993
"Modelling of operational NMDs from financial customers - Yes",,0,-1,"{E7A1268C-02B1-422E-99927EF6C1E78D1B}",1012,10994
"Modelling of operational NMDs from financial customers - No",,0,-1,"{A74B3EF5-72B2-4EE2-BFCC6A0E24837CA9}",1012,10995
"Modelling of operational NMDs from financial customers - Not applicable",,0,-1,"{06CCD24E-1D84-4189-A0DB5AB737BB4B1A}",1012,10996
"Changes in balance sheet structure due to interest rates - Reduction of the duration gap between asset/liabilities by reducing the duration of the asset.",,0,-1,"{CCC0CD57-8FDF-4CDD-9397A69F37B2F70A}",1012,10997
