StartDate,EndDate,Status,ReleaseID,Error,VariableGenerationID
"03/13/24 05:56:11","03/13/24 05:56:21","failed",2,"Variables generation process can not be launched: There are blocking model violations.",1
"03/14/24 11:16:30","03/14/24 11:16:41","failed",2,"Variables generation process can not be launched: There are blocking model violations.",2
"03/14/24 15:08:56","03/14/24 15:09:18","failed",2,"Variables generation process can not be launched: There are blocking model violations.",3
"03/14/24 15:40:23","03/14/24 15:40:36","failed",2,"Variables generation process can not be launched: There are blocking model violations.",4
"03/14/24 15:45:28","03/14/24 15:45:39","failed",2,"Variables generation process can not be launched: There are blocking model violations.",5
"03/14/24 17:05:22","03/14/24 17:05:33","failed",2,"Variables generation process can not be launched: There are blocking model violations.",6
"03/15/24 08:43:14","03/15/24 08:43:24","failed",2,"Variables generation process can not be launched: There are blocking model violations.",7
"03/15/24 10:16:38","03/15/24 10:16:49","failed",2,"Variables generation process can not be launched: There are blocking model violations.",8
"03/15/24 13:08:47","03/15/24 13:08:58","failed",2,"Variables generation process can not be launched: There are blocking model violations.",9
"03/15/24 15:00:43","03/15/24 15:04:50","failed",2,"Variables generation process failed: There are blocking model violations.",10
"03/18/24 09:00:14","03/18/24 09:04:50","failed",2,"Variables generation process failed: There are blocking model violations.",11
"03/18/24 09:07:58","03/18/24 09:12:35","failed",2,"Variables generation process failed: There are blocking model violations.",12
"03/18/24 10:10:17","03/18/24 10:13:37","failed",2,"Variables generation process failed: There are blocking model violations.",13
"03/18/24 10:17:54","03/18/24 10:19:43","success",2,,14
"03/19/24 15:55:12","03/19/24 15:55:31","failed",2,"Variables generation process can not be launched: There are blocking model violations.",15
"03/20/24 10:45:34","03/20/24 10:45:46","failed",2,"Variables generation process can not be launched: There are blocking model violations.",16
"03/20/24 10:52:05","03/20/24 10:54:12","success",2,,17
"03/20/24 11:34:48","03/20/24 11:36:46","success",2,,18
"03/20/24 14:39:22","03/20/24 14:41:13","success",2,,19
"03/27/24 17:01:29","03/27/24 17:01:50","failed",2,"Variables generation process can not be launched: There are blocking model violations.",20
"04/05/24 14:01:31","04/05/24 14:01:47","failed",2,"Variables generation process can not be launched: There are blocking model violations.",21
"04/05/24 15:10:55","04/05/24 15:15:01","success",2,,22
"04/05/24 15:43:55","04/05/24 15:46:26","success",2,,23
"04/05/24 16:05:04","04/05/24 16:07:11","success",2,,24
"04/05/24 16:24:47","04/05/24 16:25:03","failed",2,"Variables generation process can not be launched: There are blocking model violations.",25
"04/05/24 16:46:55","04/05/24 16:50:04","success",2,,26
"04/05/24 16:57:04","04/05/24 16:59:10","success",2,,27
"04/22/24 18:11:56","04/22/24 18:12:13","failed",2,"Variables generation process can not be launched: There are blocking model violations.",28
"04/22/24 18:17:04","04/22/24 18:17:15","failed",2,"Variables generation process can not be launched: There are blocking model violations.",29
"04/22/24 18:18:26","04/22/24 18:18:38","failed",2,"Variables generation process can not be launched: There are blocking model violations.",30
"04/23/24 11:26:53","04/23/24 11:28:55","success",2,,31
"06/12/24 07:41:31","06/12/24 07:42:20","failed",2,"Variables generation process can not be launched: There are blocking model violations.",32
"06/12/24 08:02:25","06/12/24 08:04:43","success",2,,33
"06/12/24 08:19:20","06/12/24 08:21:32","success",2,,34
"06/12/24 15:37:00","06/12/24 15:39:08","success",2,,35
"08/06/24 13:17:57","08/06/24 13:18:10","failed",3,"Variables generation process can not be launched: There are blocking model violations.",36
"08/06/24 13:18:14","08/06/24 13:18:24","failed",3,"Variables generation process can not be launched: There are blocking model violations.",37
"08/06/24 13:18:31","08/06/24 13:18:40","failed",3,"Variables generation process can not be launched: There are blocking model violations.",38
"08/06/24 13:19:08","08/06/24 13:19:17","failed",3,"Variables generation process can not be launched: There are blocking model violations.",39
"08/06/24 13:19:40","08/06/24 13:19:49","failed",3,"Variables generation process can not be launched: There are blocking model violations.",40
"08/08/24 06:58:35","08/08/24 06:58:46","failed",3,"Variables generation process can not be launched: There are blocking model violations.",41
"08/08/24 18:11:41","08/08/24 18:11:49","failed",3,"Variables generation process can not be launched: There are blocking model violations.",42
"08/09/24 10:13:59","08/09/24 10:14:08","failed",3,"Variables generation process can not be launched: There are blocking model violations.",43
"08/09/24 11:01:17","08/09/24 11:01:26","failed",3,"Variables generation process can not be launched: There are blocking model violations.",44
"08/09/24 11:07:36","08/09/24 11:07:45","failed",3,"Variables generation process can not be launched: There are blocking model violations.",45
"08/09/24 16:32:19","08/09/24 16:32:27","failed",3,"Variables generation process can not be launched: There are blocking model violations.",46
"08/12/24 16:22:39","08/12/24 16:22:48","failed",3,"Variables generation process can not be launched: There are blocking model violations.",47
"08/14/24 08:23:38","08/14/24 08:23:49","failed",3,"Variables generation process can not be launched: There are blocking model violations.",48
"08/14/24 16:17:04","08/14/24 16:17:17","failed",3,"Variables generation process can not be launched: There are blocking model violations.",49
"08/16/24 08:51:35","08/16/24 08:51:45","failed",3,"Variables generation process can not be launched: There are blocking model violations.",50
"08/16/24 08:51:52","08/16/24 08:52:00","failed",3,"Variables generation process can not be launched: There are blocking model violations.",51
"08/16/24 09:41:02","08/16/24 09:41:44","success",3,,52
"08/16/24 09:47:09","08/16/24 09:47:36","success",3,,53
"08/20/24 14:45:13","08/20/24 14:45:27","failed",3,"Variables generation process can not be launched: There are blocking model violations.",54
"08/20/24 15:45:59","08/20/24 15:46:09","failed",3,"Variables generation process can not be launched: There are blocking model violations.",55
"08/20/24 16:28:02","08/20/24 16:36:38","failed",3,"Variables generation process failed: There are blocking model violations.",56
"08/21/24 06:23:23","08/21/24 06:29:50","failed",3,"Variables generation process failed: There are blocking model violations.",57
"08/22/24 05:31:37","08/22/24 05:31:51","failed",3,"Variables generation process can not be launched: There are blocking model violations.",58
"08/22/24 05:31:57","08/22/24 05:32:09","failed",3,"Variables generation process can not be launched: There are blocking model violations.",59
"08/22/24 05:40:01","08/22/24 05:45:03","failed",3,"Variables generation process failed: There are blocking model violations.",60
"08/22/24 12:36:30","08/22/24 12:41:33","failed",3,"Variables generation process failed: There are blocking model violations.",61
"08/22/24 15:26:32","08/22/24 15:31:35","failed",3,"Variables generation process failed: There are blocking model violations.",62
"08/22/24 15:33:59","08/22/24 15:39:01","failed",3,"Variables generation process failed: There are blocking model violations.",63
"08/23/24 05:54:39","08/23/24 05:59:57","failed",3,"Variables generation process failed: There are blocking model violations.",64
"08/23/24 08:15:00","08/23/24 08:15:12","failed",3,"Variables generation process can not be launched: There are blocking model violations.",65
