ItemID,StartReleaseID,ContextID,EndReleaseID,RowGUID
1012409637,5,1751964,,"{CA8ABE99-95BF-B74C-9268592ADF1389A2}"
1012409638,5,1751969,,"{8D3EBE2A-27E0-564D-BF6B9D4D78270D1A}"
1012409639,5,1751970,,"{83B77526-2CA5-EB4E-89CCC2D996EC6C73}"
1012409640,5,1751972,,"{8136C082-6AEB-F243-A32C5315E27555F8}"
1012409743,5,1751981,,"{8BD40FB0-7F49-8E46-BA3E971FFA0D0D89}"
1012409748,5,1751947,,"{040751D8-D020-144A-BE79238784B6A787}"
1012410260,5,1751971,,"{4EEC563B-A2A8-9A4F-933CCD64B9515E98}"
1012412435,5,1751977,,"{77CC820A-1DF6-5543-8DFDE5F256DF2BF7}"
1012412437,5,1751978,,"{4BA5BF40-B245-9F40-AC1202F6664B389B}"
1012412444,5,808338,,"{E1AB89FF-DAEE-EE49-ABA474CDBF67A896}"
1012412445,5,808337,,"{8F522AEA-BABF-C048-913ED26D9575C5E2}"
1012413100,5,1849104,,"{1C824E15-97E5-EC4D-94C1A65B5CC608DA}"
1012413101,5,1849105,,"{4F2B0EEF-AAC6-0042-B67050788DDBFABE}"
1012413109,5,1868987,,"{7C0799DC-BB7D-0347-AF63A22F515636BD}"
1012413110,5,808136,,"{684F1903-6158-FC49-A7E805F8099E0924}"
